company,job_title,location,remote_or_hybrid,posting_date,source,job_url,score,list_source,stage1_pass_reasons,score_breakdown
NATERA,"Staff Software Engineer, Clinical Genomics",US Remote,remote,2026-01-27,greenhouse,https://job-boards.greenhouse.io/natera/jobs/5692768004,16,targeted_list_combined.json,"[""title_match"", ""weak_domain_signal""]","{""title_bonus"": 5, ""freshness_bonus"": 5, ""strong_hits"": 0, ""medium_hits"": 2, ""nice_hits"": 1, ""penalties"": 0}"
NATERA,Translational Medical Scientist,US Remote,remote,2026-01-27,greenhouse,https://job-boards.greenhouse.io/natera/jobs/5530332004,3,targeted_list_combined.json,"[""weak_domain_signal""]","{""title_bonus"": 0, ""freshness_bonus"": 5, ""strong_hits"": 0, ""medium_hits"": 1, ""nice_hits"": 0, ""penalties"": -5}"
GRAIL,Employer Key Account Director # 4522,Remote - Texas,remote,2026-01-27,lever,https://jobs.lever.co/grailbio/d0cd0390-840c-43b9-bfb4-a4c4f86d7508,8,targeted_list_combined.json,"[""weak_domain_signal""]","{""title_bonus"": 0, ""freshness_bonus"": 5, ""strong_hits"": 0, ""medium_hits"": 1, ""nice_hits"": 0, ""penalties"": 0}"
GRAIL,Senior Buyer #4511,"Raleigh, NC; Durham, NC",onsite,2026-01-27,lever,https://jobs.lever.co/grailbio/f6eb0ddc-13e6-46e7-864e-4498e23c0aa8,7,targeted_list_combined.json,"[""weak_domain_signal""]","{""title_bonus"": 0, ""freshness_bonus"": 5, ""strong_hits"": 0, ""medium_hits"": 1, ""nice_hits"": 0, ""penalties"": 0}"
GRAIL,Staff Product Security Engineer #4612,"Menlo Park, CA",onsite,2026-01-26,lever,https://jobs.lever.co/grailbio/8eef6597-bb71-45f5-8dc4-37092294c2e0,7,targeted_list_combined.json,"[""weak_domain_signal""]","{""title_bonus"": 0, ""freshness_bonus"": 5, ""strong_hits"": 0, ""medium_hits"": 1, ""nice_hits"": 0, ""penalties"": 0}"
GRAIL,Staff Software Engineer (Commercial) #4508,"Menlo Park, CA",onsite,2026-01-21,lever,https://jobs.lever.co/grailbio/a4cd0983-94b1-4174-803e-c6637ed2d350,4,targeted_list_combined.json,"[""weak_domain_signal""]","{""title_bonus"": 0, ""freshness_bonus"": 2, ""strong_hits"": 0, ""medium_hits"": 1, ""nice_hits"": 0, ""penalties"": 0}"
GRAIL,"Supervisor, Customer Service (Call Center)#4484","Menlo Park, CA",onsite,2026-01-27,lever,https://jobs.lever.co/grailbio/12afba6f-e990-4edb-a95c-0370453ea19e,7,targeted_list_combined.json,"[""weak_domain_signal""]","{""title_bonus"": 0, ""freshness_bonus"": 5, ""strong_hits"": 0, ""medium_hits"": 1, ""nice_hits"": 0, ""penalties"": 0}"
INSITRO,"Senior Computational Biologist, Omics","South San Francisco, CA",onsite,NA,ashby,https://jobs.ashbyhq.com/insitro/7c03e284-892e-49bb-8821-748f413a1d9e,11,targeted_list_combined.json,"[""title_match"", ""weak_domain_signal""]","{""title_bonus"": 5, ""freshness_bonus"": 6, ""strong_hits"": 0, ""medium_hits"": 0, ""nice_hits"": 0, ""penalties"": 0}"
INSITRO,"VP, Bioassays, Cell Models, and Genomic Screening","South San Francisco, CA",onsite,NA,ashby,https://jobs.ashbyhq.com/insitro/71606d59-a7d1-4246-8fb3-f8c97ba8201b,5,targeted_list_combined.json,"[""title_match"", ""weak_domain_signal""]","{""title_bonus"": 5, ""freshness_bonus"": 0, ""strong_hits"": 0, ""medium_hits"": 0, ""nice_hits"": 0, ""penalties"": 0}"
INSITRO,"Senior Computational Biologist, Imaging","South San Francisco, CA",onsite,NA,ashby,https://jobs.ashbyhq.com/insitro/a24d863e-c34a-4657-8d98-2d7e631eb45e,11,targeted_list_combined.json,"[""title_match""]","{""title_bonus"": 5, ""freshness_bonus"": 6, ""strong_hits"": 0, ""medium_hits"": 0, ""nice_hits"": 0, ""penalties"": 0}"
BROAD INSTITUTE,Computational Biology & Bioinformatics,NA,onsite,NA,careers_url,https://www.broadinstitute.org/careers/computational-biology-bioinformatics,5,targeted_list_verified.json,"[""title_match""]","{""title_bonus"": 5, ""freshness_bonus"": 0, ""strong_hits"": 0, ""medium_hits"": 0, ""nice_hits"": 0, ""penalties"": 0}"
10x Genomics,Senior Manufacturing Test Engineer (Contract Position),"Pleasanton, California, USA HQ",onsite,2026-01-28,greenhouse,https://boards.greenhouse.io/10xgenomics/jobs/7516962?gh_jid=7516962,6,targeted_list_verified.json,"[""weak_domain_signal""]","{""title_bonus"": 0, ""freshness_bonus"": 5, ""strong_hits"": 0, ""medium_hits"": 1, ""nice_hits"": 0, ""penalties"": -2}"
RECURSION PHARMACEUTICALS,Head of Early Discovery,"Salt Lake City, Utah",onsite,2026-01-28,greenhouse,https://job-boards.greenhouse.io/recursionpharmaceuticals/jobs/7571580,0,targeted_list_verified.json,"[""weak_domain_signal""]","{""title_bonus"": 0, ""freshness_bonus"": 5, ""strong_hits"": 0, ""medium_hits"": 0, ""nice_hits"": 0, ""penalties"": -5}"
BEAM THERAPEUTICS,Data Analytics and Integration Specialist,"Cambridge, MA",onsite,2026-01-28,greenhouse,https://job-boards.greenhouse.io/beamtherapeutics/jobs/8345551002,9,targeted_list_verified.json,"[""weak_domain_signal""]","{""title_bonus"": 0, ""freshness_bonus"": 5, ""strong_hits"": 0, ""medium_hits"": 2, ""nice_hits"": 0, ""penalties"": 0}"
Johnson & Johnson,"Health Economics, Market Access, & Reimbursement Manager",NA,onsite,NA,careers_url,https://www.careers.jnj.com/en/jobs/r-054636/health-economics-market-access-reimbursement-manager/,5,targeted_list_verified.json,"[""title_match"", ""weak_domain_signal""]","{""title_bonus"": 5, ""freshness_bonus"": 0, ""strong_hits"": 0, ""medium_hits"": 0, ""nice_hits"": 0, ""penalties"": 0}"
PLANET LABS PBC,Education & Research Program Manager & Evangelist,"United States, Remote",remote,2026-01-28,greenhouse,https://job-boards.greenhouse.io/planetlabs/jobs/7532263,6,targeted_list_verified.json,"[""weak_domain_signal""]","{""title_bonus"": 0, ""freshness_bonus"": 5, ""strong_hits"": 0, ""medium_hits"": 0, ""nice_hits"": 0, ""penalties"": 0}"
BEAM THERAPEUTICS,"Sr. Director, QC Analytical Methods","Durham, NC",onsite,2026-01-28,greenhouse,https://job-boards.greenhouse.io/beamtherapeutics/jobs/8325725002,5,targeted_list_verified.json,"[""weak_domain_signal""]","{""title_bonus"": 0, ""freshness_bonus"": 5, ""strong_hits"": 0, ""medium_hits"": 1, ""nice_hits"": 0, ""penalties"": -2}"
